SMPL_DT,MATL_CD,GEOG_AREA_T,SMPL_ID,SMPL_TST_NBR,ASSAY,Effectiveness(PNS Score),PNS_BLANK,PNS_NACL,SETTABLE_SOLIDS,SETTABLE_SOLIDS_TEMP,Perc_Pass 10M,PH,As_,BA,CD,CR,CU,PB,HG,SE,ZN,CN,P,S,SULFATE
20131001,MT 6           ,KAL ,U044713B5074426   ,1         , ,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,36.2,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,2.87,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,65.68,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,100,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,, ,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,100,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,6.93,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,<0.8,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,.0009,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,<.017,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,<.08,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,<.08,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,<.17,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,<.008,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,<2.5,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,<.08,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,<.20,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,<250,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,, ,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,, 
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1         ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       , ,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,35.0,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,5.16,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,64.35,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,, ,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,, ,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,, ,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,, ,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,, ,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,, ,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,, ,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,, ,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,, ,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,, ,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,, ,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,, ,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,, ,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,, ,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,, ,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,, ,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,, 
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,,
20131001,MT 6           ,KAL ,U044713B5074426   ,1.0       ,,,,,,,,,,,,,,,,,,,,,
